Gene ID,C12T1,C12T7,C14T1,C14T9,C23T7,C23T8,C26T10A,C26T9A,C27T10A,C27T9A,C28T7,C28T8,C10T5B,C10T6,C15T11A,C15T9,C16T10,C16T12A,C21T16,C21T7C,C4T11A,C4T12A,C6T10,C6T9,Gene Symbol,Aliases,Entrez ID,Ensembl ID,GO Accession
937027,8.25051,7.8305917,6.812824,7.059996,7.069213,7.532795,7.357073,7.128705,7.197515,7.7181244,7.57175,7.4928126,7.3521366,6.545709,8.046338,7.1455054,7.376161,8.128718,6.9425325,7.0019426,6.873242,7.048321,8.412823,8.329111,BSU00200,,937027,,
937197,7.995841,7.5251856,6.414683,6.0120792,7.080554,6.744232,6.972187,6.647783,7.0390453,7.1030364,6.3062544,6.300813,5.4897723,5.8611674,7.6808195,7.241928,7.774346,7.8879457,7.202178,7.0474563,6.665289,6.6454697,8.44004,8.292318,BSU00210,,937197,,GO:0006281|GO:0006310
937026,6.673506,6.899924,4.037633,4.5278435,5.186706,5.9208817,5.810363,4.911168,4.9039955,5.86848,4.894275,5.5571203,4.6357083,4.153003,6.5441103,5.9034104,6.90718,6.9305477,5.8109827,5.483977,5.24473,4.8658395,7.2340226,7.077426,BSU00220,,937026,,
937025,4.573337,4.374475,2.045454,2.221796,3.5695677,3.4242353,3.2544556,3.1745486,2.429813,3.7225664,3.1526823,3.0594769,0,1.9124637,5.081945,3.0661564,3.904686,4.4730926,3.141508,3.3000228,3.2204795,3.1559043,4.472433,4.716461,BSU00230,,937025,,GO:0030435|GO:0042601
937016,3.188716,3.3205233,0,0,1.8452778,0,1.5352315,0,0,2.3739314,0.19792216,1.7474065,0,2.2608259,3.4198418,2.5338438,3.7139912,2.973772,0,0.18665154,0,0,3.2771895,3.8738482,BSU00240,,937016,,
937019,6.631676,6.8370442,6.756496,7.0755143,6.5214934,5.191719,6.447605,7.954757,7.242791,6.850908,5.658749,6.4839525,6.334789,7.6026893,6.4015346,5.954139,5.2398357,6.728264,7.1008477,6.793901,7.7534266,6.886974,6.394238,6.425871,BSU00250,,937019,,
936551,7.8959193,7.623841,7.7783732,8.508592,8.574975,7.648591,8.417449,9.451717,9.0071125,8.367769,8.27601,8.707821,8.756985,9.379157,8.642226,7.6582804,7.2264667,8.329441,8.657795,8.091714,8.898754,8.80107,7.89815,7.804803,BSU00260,,936551,,
937013,7.836666,7.4601526,7.7323527,7.807691,8.151418,6.9080524,7.896129,7.9294395,8.26997,8.074115,6.6685724,7.8840685,7.7118897,8.433239,8.183449,7.181005,7.297017,7.9397445,8.02276,7.9892507,8.120759,7.9858966,7.5690413,7.531044,BSU00270,,937013,,
937018,7.1574254,6.3519225,6.287562,6.296326,7.5037193,6.550007,6.842039,6.823141,6.9804344,6.9685197,5.9519615,6.4768653,6.1622553,7.3282084,7.4094896,6.397295,6.921292,6.9879403,6.832551,7.331828,6.776675,6.946122,7.228782,6.9330387,BSU00280,,937018,,
938610,6.658656,6.312839,7.010418,6.7830057,7.300039,6.717293,6.9559326,7.1819205,7.1425424,7.2208095,7.019764,7.0098834,5.9734683,6.9868836,7.2351036,7.00218,6.487854,7.1443744,7.045324,6.9961667,7.0538363,7.1841335,6.8097725,6.4626765,BSU00290,,938610,,
